row_data,row_id,내용,상세내용,주장/검증 매체,label
0,0,한국에서는 팁 문화가 불법이다,"['국내', '최대', '모빌리티', '플랫폼', '카카오', '지난달', '택시', '기사', '서비스', '도입', '이용', '사이', '논란', '박스', '통해', '지불', '공식', '일부', '음식점', '카페', '국내', '최대', '모빌리티', '플랫폼', '서비스', '도입', '한국', '문화', '우려', '목소리', '가운데', '최근', '한국', '문화', '불법', '이유', '온라인', '커뮤니티', '사이트', '공유', '해당', '게시', '사실', '근거', '중부일보', '대해', '팩트', '체크', '카카오', '서비스', '도입', '가운데', '온라인', '커뮤니티', '한국', '문화', '불법', '주장', '제기', '택시', '업계', '택시', '운송', '사업', '발전', '법률', '요금', '부과', '규제', '대해', '규제', '조항', '음식점', '경우', '식품위생법', '시행', '규칙', '부가가치세', '봉사', '포함', '실제', '지불', '가격', '게시', '손님', '자발', '지불', '규제', '법률', '전문가', '역시', '자발', '불법', '해석', '따라서', '한국', '문화', '불법', '주장', '대체로', '사실', '판단', '검증', '대상', '온라인', '커뮤니티', '게시', '한국', '문화', '불법', '식품위생법', '시행', '규칙', '확인', '택시', '운송', '사업', '발전', '법률', '확인', '서울', '행정법원', '판결', '확인', '임호균', '변호사', '전화', '인터뷰', '정현', '변호사', '서면', '인터뷰', '검증', '앞서', '한국', '현재', '대한', '별도', '정의', '규정', '이번', '검증', '봉사', '동일', '개념', '보고', '실제', '국립국어원', '말로', '봉사', '제시', '변호사', '로부터', '봉사', '일선', '무방', '자문', '택시', '업계', '요금', '부과', '규제', '호텔', '업계', '봉사', '폐지', '권고', '택시', '업계', '경우', '택시', '운송', '사업', '발전', '법률', '택시', '운수', '종사', '준수', '사항', '운임', '요금', '행위', '해선', '명시', '택시', '운송', '사업', '발전', '법률', '내용', '설명', '실제', '지난', '외국인', '요금', '택시', '운전자', '자격정지', '처분', '구합', '다만', '해당', '판결', '택시', '기사', '요금', '부과', '문제', '판결', '문상', '대한민국', '동아시아', '제한', '존재', '액수', '보통', '요금', '내외', '형성', '일반', '명시', '자체', '위법성', '지적', '최근', '논란', '카카오', '감사', '시범', '서비스', '경우', '택시', '운행', '종료', '최소', '금액', '선택', '지불', '선택', '사항', '강제']",온라인 커뮤니티 게시물,0
1,1,7만 원짜리 잼버리 텐트를 25만 원에 납품했다,"['새만금', '세계', '스카우트', '잼버리', '조직', '위원회', '각국', '대표', '제공', '인용', '텐트', '가격', '시중', '가격', '이상', '납품', '비리', '의혹', '등장', '일부', '유튜버', '누리꾼', '지난', '잼버리', '직위', '각국', '대표', '제공', '인용', '텐트', '회사', '텐트', '가격', '비교', '텐트', '둔갑', '주장', '인용', '버펄로', '잼버리', '텐트', '인터넷', '판매', '가격', '회사', '버펄로', '텐트', '인용', '가격', '원대', '이상', '차이', '일부', '인터넷', '매체', '근거', '잼버리', '보급', '텐트', '차익', '단순', '계산', '주장', '실제', '잼버리', '납품', '텐트', '가격', '이상', '사실', '일부', '유튜버', '누리꾼', '잼버리', '직위', '각국', '대표', '제공', '인용', '텐트', '회사', '텐트', '가격', '비교', '텐트', '둔갑', '납품', '비리', '의혹', '제기', '잼버리', '직위', '텐트', '제작', '책정', '예산', '정도', '사업', '현금', '원금', '감안', '실제', '납품', '가격', '정도', '잼버리', '텐트', '납품', '가격', '이상', '의혹', '동일', '제품', '소비자', '가격', '납품', '가격', '오인', '전혀', '사실', '판정', '검증', '대상', '잼버리', '텐트', '납품', '네티즌', '의혹', '최근', '일부', '유튜버', '누리꾼', '사이', '잼버리', '텐트', '둔갑', '의혹', '확산', '출처', '새만금', '세계', '스카우트', '잼버리', '조직', '위원회', '각국', '대표', '제공', '인용', '텐트', '가격', '시중', '가격', '이상', '납품', '비리', '의혹', '등장', '일부', '유튜버', '누리꾼', '지난', '잼버리', '직위', '각국', '대표', '제공', '인용', '텐트', '회사', '텐트', '가격', '비교', '텐트', '둔갑', '주장', '인용', '버펄로', '잼버리', '텐트', '인터넷', '판매', '가격', '회사', '버펄로', '텐트', '인용', '가격', '원대', '이상', '차이', '일부', '인터넷', '매체', '근거', '잼버리', '보급', '텐트', '차익', '단순', '계산', '주장', '실제', '잼버리', '납품', '텐트', '가격', '이상', '사실', '검증', '방법', '잼버리', '직위', '텐트', '납품', '가격', '원대', '원금', '감안', '먼저', '이번', '잼버리', '제공', '텐트', '납품', '가격', '확인', '새만금', '세계', '스카우트', '잼버리', '조직', '위원회', '아래', '직위', '이번', '대회', '참가자', '텐트', '인용', '매트', '제공', '텐트', '인용', '매트', '위해', '직위', '지난', '텐트', '매트', '제작', '부문', '공식', '후원', '긴급', '모집', '입찰', '참여', '가운데', '버펄로', '텐트', '에프', '선정', '당시', '직위', '참가자', '예상', '텐트', '매트', '제작', '위해', '예산', '예산', '이상', '현금', '현물', '용역', '후원', '조건', '새만금', '세계', '스카우트', '잼버리', '조직', '위원회', '지난해', '참가자', '예상', '텐트', '매트', '제작', '후원', '모집', '위해', '예산', '책정', '세계', '스카우트', '잼버리', '직위']",인터넷 커뮤니티,0
2,2,직원 16만 명인데 임원 14만 명 새마을금고 조직구조 희한하다,"['한국', '신문', '새마을금고', '부실', '사태', '관련', '방만', '경영', '관리', '부실', '사태', '원인', '하나로', '임원', '전체', '직원', '절반', '육박', '왜곡', '조직', '구조', '꼽았다', '금융', '임원', '비율', '새마을금고', '비교', '정도', '보도', '새마을금고', '금융', '견줘', '비판', '신용조합', '새마을금고', '조직', '구조', '지주회사', '금융', '비교', '확인', '새마을금고', '지역', '금고', '중앙회', '모두', '각각', '독립', '법인', '한국', '경제', '직원', '임원', '임원', '비율', '보도', '내용', '개별', '새마을금고', '모두', '종합', '계산', '김영신', '시장경제', '학회', '회장', '새마을금고', '금고', '의사결정', '개별', '수행', '일반', '금융', '단순', '비교', '무리', '지적', '임원', '비율', '왜곡', '직구', '따라서', '새마을금고', '임원', '직구', '주장', '전혀', '사실', '판정', '새마을금고', '임원', '직원', '절반', '박해', '직구', '왜곡', '새마을금고', '사태', '화두', '한국', '경제', '신문', '한경', '지난', '새마을금고', '부실', '사태', '관련', '방만', '경영', '관리', '부실', '사태', '원인', '하나로', '임원', '전체', '직원', '절반', '육박', '왜곡', '조직', '구조', '꼽았다', '기사', '제목', '직원', '임원', '새마을금고', '직구', '기사', '포털', '다음', '섹션', '인기', '기사', '기록', '한경', '기사', '금고', '개별', '의사결정', '이사회', '금고', '별로', '임원', '금고', '설명', '금융', '임원', '비율', '새마을금고', '비교', '정도', '보도', '신용조합', '새마을금고', '조직', '구조', '지주회사', '금융', '비교', '농협', '신문', '취재', '결과', '전문가', '다른', '업종', '임원', '비율', '서로', '비교', '접근', '농협', '신문', '새마을금고', '조직', '구조', '왜곡', '한국', '신문', '직원', '임원', '새마을금고', '조직', '구조', '기사', '기사', '지난', '인터넷', '지면', '먼저', '다음', '날인', '지면', '신문', '한국', '경제', '갈무리', '새마을금고', '금융기관', '달리', '독립', '법인', '구성', '서울', '시내', '새마을금고', '지점', '모습', '연합뉴스', '새마을금고', '지역', '금고', '새마을금고', '중앙회', '아래', '중앙회', '지역', '금고', '특정', '행정구역', '경제권', '생활권', '업무', '구역', '남양주', '동부', '새마을금고', '지역', '지역', '금고', '여러', '지역', '금고', '공동', '설립', '중앙회', '중앙회', '개별', '금고', '수행', '한계', '업무', '가령', '국제', '협력', '사업', '조사', '연구', '지역', '금고', '대한', '규제', '지원', '수행', '다지', '금고', '중앙회', '모두', '독립', '법인', '남양주', '동부', '새마을금고', '서울', '강동', '새마을금고', '새마을금고', '명칭', '별도', '사업', '체다', '회계', '처리', '임원', '직원', '구성', '중앙회', '지역', '금고', '독립', '법인', '대해', '새마을금고', '측은', '울타리', '다른', '이름', '가지', '설명']",언론보도,0
3,3,탄소 포집 기술은 재생에너지보다 경제성이 뛰어난 탄소중립 대안이다,"['탄소', '중립', '녹색', '성장', '위원회', '지난', '탄소', '중립', '녹색', '성장', '계획', '발표', '국가', '온실가스', '감축', '목표', '탄소', '포집', '저장', '활용', '기술', '제거', '환경', '단체', '검증', '미래', '기술', '현실', '반발', '반면', '일부', '산업', '학계', '비용', '효율', '한국', '상황', '현실', '대안', '조원동', '규제', '개혁', '위원회', '위원', '지난', '이데일리', '탄소', '중립', '포럼', '발언', '주장', '비용', '효율', '대안', '팩트', '체크', '탄소', '포집', '기술', '재생에너지', '경제성', '탄소', '중립', '대안', '조원동', '규제', '개혁', '위원회', '위원', '주장', '세계', '최초', '이자', '석탄', '발전', '설비', '운영', '캐나다', '바운', '바운', '발전', '측은', '한국', '일보', '설비', '추가', '설치', '계획', '탄소', '효과', '재생에너지', '비용', '때문', '국제', '에너지', '기구', '바운', '탄소', '포집', '단가', '원반', '기준', '태양광', '발전', '단가', '해상', '풍력', '예측', '따라서', '해당', '주장', '전혀', '사실', '판정', '탄소', '포집', '기술', '재생에너지', '경제성', '탄소', '중립', '대안', '조원동', '규제', '개혁', '위원회', '위원', '주장', '지난', '국가', '탄소', '중립', '녹색', '성장', '위원회', '국가', '온실가스', '감축', '목표', '달성', '연도', '계획', '배포', '계획', '탄소', '포집', '저장', '활용', '감축', '내용', '조원동', '규제', '개혁', '위원회', '위원', '재생에너지', '원전', '상대', '비용', '이데일리', '포럼', '이코노미스트', '보도', '정광', '산업', '연합', '포럼', '부설', '미래', '산업', '연구소장', '가장', '비용', '효과', '탄소', '감축', '수단', '해외', '감축', '한국', '산업', '연합', '포럼', '이데일리', '보도', '한국', '일보', '정말', '비용', '효율', '대안', '지난', '캐나다', '서스캐처완', '주의', '석탄', '화력발전소', '바운', '방문', '발전기', '구성', '석탄', '화력발전소', '발전기', '규모', '탄소', '포집', '설비', '운영', '현재', '수백만', '탄소', '포집', '세계', '최초', '이자', '석탄', '발전', '설비', '한국', '기업', '정부', '추진', '계획', '시설', '해외', '우수', '사례', '소개', '심층', '투자', '분석', '보고서', '한국', '에너지', '기술', '연구원', '정작', '바운', '발전', '측은', '한국', '일보', '석탄', '발전', '추가', '설치', '발전기', '설치', '호기', '추가', '설치', '퇴역', '배경', '탄소', '효과', '바운', '경우', '설치', '전기', '탄소', '배출', '마찬가지', '화석연료', '발전', '액화천연가스', '발전', '배출량', '크게', '탄소', '중립', '발전', '전기', '생산', '캐나다', '정부', '방침', '보도', '충족', '비용', '탄소', '배출', '걱정', '현실', '이유', '국제', '에너지', '기구', '바운', '탄소', '포집', '단가', '태양광', '발전', '단가', '해상', '풍력', '원로', '각각', '예측', '탄소', '배출량', '채택', '이유', '게다가', '바운', '비용', '상쇄', '위해', '포집', '탄소', '석유', '회사', '판매', '석유', '회사', '탄소', '활용', '유전', '밑바닥', '석유', '추가', '채굴', '원유', '회수', '증진', '미국', '카네기멜론', '연구', '탄소', '주입', '탄소', '배출', '미국', '카네기멜론', '연구', '보고서', '탄소', '배출량', '비용', '탄소', '비용', '위해', '탄소', '배출', '해도', '재생에너지', '가격', '탄소', '배출', '다도', '체리', '세스크', '파워', '대변인', '액화천연가스', '발전', '활용', '계획', '포기', '구체', '검토', '풍력', '태양광', '재생에너지', '소형', '모듈', '원전', '도입', '추진', '한국', '일보']",조원동,0
4,4,탄소 포집 기술은 2030년 이전에 상용화돼 탄소중립에 기여할 수 있다,"['확정', '정부', '탄소', '중립', '녹색', '성장', '계획', '활용', '연간', '온실가스', '감축', '계획', '제시', '이전', '기술', '상용', '역할', '가정', '또한', '활용', '온실가스', '제거', '계획', '세운', '탄소', '중립', '시나리오', '역시', '관련', '기술', '시일', '실현', '제한', '과연', '정부', '예상', '시점', '기술', '상용', '탄소', '포집', '기술', '이전', '상용', '탄소', '중립', '기여', '정부', '주장', '탄소', '포집', '기술', '일부', '국내', '실증', '실험', '진행', '모든', '기술', '상용', '이후', '예상', '탄소', '저장', '노르웨이', '시행', '중인', '기술', '세계', '장소', '저장', '가능성', '확인', '탄소', '포집', '활용', '기술', '무르익', '추정', '공기', '직접', '탄소', '포집', '기술', '현재', '실증', '사례', '막대', '비용', '에너지', '문제', '상용', '거리', '따라서', '해당', '주장', '대체로', '사실', '판정', '탄소', '포집', '기술', '이전', '상용', '탄소', '중립', '기여', '주장', '검증', '내용', '탄소', '포집', '기술', '상용', '대체로', '사실', '한국', '환경', '연구원', '연구', '아민', '화학물질', '사용', '이산화탄소', '분리', '포집', '기술', '상용', '단계', '탄소', '중립', '혁신', '기술', '비용', '구축', '체계', '도입', '전략', '한국', '환경', '연구원', '한국전력', '전력', '연구원', '한국', '중부', '발전', '보령', '설치', '탄소', '포집', '실증', '플랜트', '기술', '사용', '플랜트', '시험', '운전', '시작', '상용', '운전', '시작', '한국전력', '전력', '연구원', '보도자료', '분리', '이용', '배기가스', '이산화탄소', '투과', '분리', '포집', '기술', '일부', '국가', '상용', '수준', '도달', '국내', '기술', '개발', '진행', '중이', '배기가스', '이산화탄소', '고체', '입자', '통해', '선택', '포집', '기술', '에너지', '재량', '상용', '정부', '발표', '이산화탄소', '포집', '활용', '기술', '혁신', '로드맵', '발전', '산업', '분야', '연소', '배기가스', '포집', '기술', '상용', '예상', '시점', '이후', '이산화탄소', '포집', '활용', '기술', '혁신', '로드맵', '과학기술', '정보통신부', '문제', '우리나라', '탄소', '포집', '관련', '기술', '수준', '미국', '유럽', '선도', '일본', '중국', '격차', '한국', '에너지', '기술', '연구원', '기연', '전문가', '분석', '의뢰', '우리나라', '탄소', '포집', '기술', '수준', '선도', '탄소', '활용', '기술', '선도', '저장', '기술', '수준', '심층', '투자', '분석', '보고서', '한국', '에너지', '기술', '연구원', '탄소', '저장', '상용', '대체로', '사실', '탄소', '저장', '조건', '충족', '대표', '구조', '염류', '대수층', '염수', '가득', '다공', '다른', '방법', '원유', '가스', '채굴', '비어', '유전', '가스전', '주입', '현재', '호주', '웨이', '시험', '센터', '지하', '탄소', '저장', '실험', '실증', '진행', '노르웨이', '북해', '라이프', '가스전', '탄소', '저장', '장소', '확보', '미지수', '지난해', '석유', '가스', '기후', '이니셔티브', '발표', '세계', '이산화탄소', '저장', '소가', '평가', '가운데', '탐사', '정도', '확인', '프로젝트', '진행', '중이', '석유', '가스', '기후', '이니셔티브']",언론사 자체 문제제기,0
5,5,국내에서 포집한 이산화탄소를 해외 저장소에 저장할 수 있다,"['탄소', '중립', '녹색', '성장', '위원회', '우리나라', '탄소', '중립', '위해', '탄소', '포집', '저장', '기술', '사용', '과정', '국내', '국외', '탄소', '장소', '확보', '계획', '발표', '실제', '포집', '이산화탄소', '해외', '장소', '저장', '팩트', '체크', '국내', '포집', '이산화탄소', '저장', '국내', '장소', '용량', '탄소', '저장', '사례', '정부', '탄소', '중립', '달성', '위해', '국내', '포집', '탄소', '해외', '저장', '계획', '해외', '저장', '비용', '국제', '규범', '마련', '선례', '이산화탄소', '수출', '허용', '개정안', '발효', '사국', '비준', '사국', '개국', '비준', '따라서', '국내', '포집', '이산화탄소', '해외', '장소', '저장', '주장', '대체로', '사실', '판정', '검증', '대상', '국내', '포집', '이산화탄소', '해외', '장소', '저장', '탄소', '중립', '녹색', '성장', '위원회', '주장', '검증', '내용', '탄소', '중립', '위해', '국내', '포집', '탄소', '국내', '장소', '저장', '대체로', '사실', '정부', '탄소', '중립', '위해', '이산화탄소', '저장', '계획', '정부', '탄소', '중립', '시나리오', '연간', '연간', '탄소', '저장', '계획', '탄소', '중립', '녹색', '성장', '국가', '전략', '국가', '계획', '탄소', '저장', '계획', '국내', '탄소', '저장', '잠재', '저장', '소가', '추정', '실제', '탄소', '저장', '사례', '산업', '통상', '자원부', '해양수산부', '발표', '지질', '자원', '연구원', '합동', '연구', '국내', '유망', '탄소', '장소', '용량', '평가', '연간', '동안', '저장', '규모', '여기', '유망', '구조', '추가', '발견', '가정', '저장', '추정', '정부', '계획', '해외', '장소', '기대', '국내', '저장', '가능', '용량', '설정', '나머지', '해외', '저장', '처리', '계획', '안도', '해외', '저장', '계획', '산업', '통상', '자원부', '해양수산부', '공동', '발표', '자료', '계획', '해도', '규모', '해외', '장소', '확보', '유망', '장소', '보령', '서해', '군산', '분지', '저장', '가능성', '확인', '기초', '탐사', '시작', '당초', '지난해', '가을', '시추', '시작', '허가', '절차', '기상', '여건', '사고', '가까이', '한국', '일보', '보도국', '장소', '사용', '가능', '여부', '확인', '생산', '중단', '동해', '가스전', '산업', '통상', '자원부', '실증', '사업', '해도', '하반기', '저장', '시작', '탄소', '장량', '탄소', '중립', '위해', '국내', '포집', '탄소', '해외', '장소', '저장', '대체로', '사실', '국내', '포집', '탄소', '해외', '장소', '저장', '기술', '외교', '한계', '해외', '장소', '확보', '탄소', '해외', '저장', '경우', '비용', '온실가스', '배출', '추가', '효율', '탄소', '중립', '해법', '보기', '대체로', '사실', '판정', '린다', '해외', '탄소', '저장', '국내', '저장', '비용', '추가', '탄소', '배출', '한국', '기업', '호주', '동티모르', '사이', '티모르', '바유', '가스전', '고갈', '이후', '탄소', '저장', '프로젝트', '진행', '중이', '보도자료', '프로젝트', '목적', '블루', '수소', '생산', '블루', '소란', '화석연료', '탄소', '포집', '수소', '공정은', '단계', '호주', '다윈', '생산', '충남', '보령', '터미널', '보령', '블루', '수소', '생산', '탄소', '포집', '포집', '탄소', '액화', '다시', '다윈', '임시', '저장', '이후', '해저', '파이프라인', '통해', '바유', '가스전', '액화', '탄소', '감축', '기업', '해외', '장소', '확보', '문제', '이로', '탄소', '비용', '발생', '호주', '다윈', '보령', '거리', '해양', '환경', '공단', '탄소', '계산기', '운반', '거리', '운항', '경우', '탄소', '배출', '거리', '수송', '여러', '조건', '실제', '배출량', '탄소', '저장', '위해', '탄소', '배출', '딜레마']",2050탄소중립녹색성장위원회,0
6,6,저출산이 GDP 순위 하락 요인이다,"['이창용', '한국은행', '총재', '지난', '금융통화위원회', '통화정책', '방향', '회의', '기자간담회', '한국', '국내총생산', '순위', '지난해', '위로', '추락', '원인', '무엇', '질문', '저출산', '고령화', '경쟁력', '둔화', '성장', '의견', '총재', '순위', '하락', '요인', '환율', '중장', '기적', '저출산', '고령화', '문제', '라며', '개혁', '때문', '경쟁력', '둔화', '설명', '저출산', '순위', '하락', '인과관계', '이창용', '한국은행', '총재', '지난', '금융통화위원회', '통화정책', '방향', '회의', '기자간담회', '한국', '국내총생산', '순위', '지난해', '위로', '추락', '원인', '무엇', '질문', '총재', '환율', '중장', '기적', '저출산', '고령화', '문제', '라며', '개혁', '때문', '경쟁력', '둔화', '설명', '한국은행', '산업', '연구원', '보건', '분석', '연구소', '자료', '분석', '결과', '총재', '주장', '대체로', '사실', '판명', '이창용', '한국은행', '총재', '지난', '서울', '중구', '한국은행', '금융통화위원회', '관련', '기자간담회', '뉴시스', '검증', '대상', '이창용', '한국은행', '총재', '지난', '금융통화위원회', '통화정책', '방향', '회의', '기자간담회', '한국', '국내총생산', '순위', '지난해', '위로', '추락', '원인', '무엇', '질문', '총재', '환율', '중장', '기적', '저출산', '고령화', '문제', '지적', '저출산', '순위', '하락', '인과관계', '검증', '방법', '한국은행', '지난해', '한국', '명목', '시장', '환율', '적용', '순위', '교육', '자료', '국민계정', '우리', '경제', '참조', '저출산', '고령화', '경제', '영향', '분석', '정책', '시사', '산업', '연구원', '미국', '워싱턴', '대학', '의과대학', '보건', '분석', '연구소', '구진', '영국', '의학', '란셋', '게재', '논문', '검증', '내용', '총재', '기자회견', '순위', '하락', '원인', '하나로', '중장', '기적', '저출산', '고령화', '문제', '라며', '개혁', '때문', '경쟁력', '둔화', '설명', '국가', '경쟁력', '하락', '성장', '경제', '규모', '순위도', '총재', '진단', '우선', '우리나라', '순위', '한국은행', '한국', '지난해', '명목', '시장', '환율', '적용', '시장', '환율', '적용', '세계', '수준', '추정', '국가', '별로', '미국', '달러', '중국', '달러', '일본', '달러', '독일', '달러', '영국', '달러', '호주', '달러', '세계', '수준', '지난해', '위로', '계단', '하락', '한국은행', '지난해', '한국', '명목', '시장', '환율', '적용', '순위', '제공', '한국은행', '총재', '설명', '순위', '하락', '원인', '저출산', '문제', '사실', '산업', '연구원', '발간', '저출산', '고령화', '경제', '영향', '분석', '정책', '시사', '보고서', '생산', '연령', '인구', '비율', '포인트', '감소', '평균', '감소', '분석']",이창용,1
7,7,한국이 선진국에 비해 실업급여 퍼준다,"['정부', '여당', '실업', '급여', '개편', '박차', '사람', '주자', '골자', '실업', '급여', '비롯', '고용', '보험', '제도', '안정화', '선진국', '비교', '한국', '퍼주기', '근로', '의욕', '정부', '여당', '주장', '구직', '실업', '급여', '마구잡이', '국민', '시럽', '급여', '단어', '정부', '여당', '세운', '논리', '팩트', '사실', '한국', '일보', '한국', '선진국', '실업', '급여', '퍼준다', '주장', '한국', '소득', '실업', '급여', '최저임금', '지급', '구직', '지적', '한국', '실업', '급여', '수급', '기간', '선진국', '간과', '개월', '실업', '급여', '한국', '선진국', '보통', '개월', '기준', '정부', '설명', '역시', '일반', '어려움', '네덜란드', '스웨덴', '프랑스', '핀란드', '개월', '기준', '다만', '스웨덴', '매월', '최소', '근무', '세부', '조건', '명시', '또한', '한국', '국가', '달리', '자발', '실업자', '실업', '급여', '지급', '따라서', '해당', '주장', '대체로', '사실', '판정']",국민의힘,0
8,8,지구 평균기온 오르면 세계경제 성장률 내려간다,"['폭우', '폭염', '극한', '기후', '지구촌', '한국', '극한', '호우', '장마', '전국', '폭염', '주의보', '미국', '유럽', '현상', '관련', '극한', '기후', '기업', '생산', '공급', '차질', '물가', '상승', '압박', '우려', '지구', '평균기온', '세계', '경제', '성장', '주장', '팩트', '체크', '베트남', '가뭄', '동반', '엘니뇨', '전력', '반도체', '생산', '차질', '산불', '홍수', '기상이변', '원자재', '곡물', '가격', '급등', '유엔', '식량', '농업', '구가', '지목', '엘니뇨', '취약', '세계', '생산량', '스위스리', '연구소', '지구', '평균기온', '세계', '손실', '분석', '홍종호', '서울대', '교수', '한국', '강수량', '예측', '토대', '한국', '경제', '피해', '규모', '전망', '치의', '전망', '지구', '평균기온', '상승', '세계', '경제', '성장', '하락', '간접', '영향', '주기', '때문', '대체로', '사실', '판정', '검증', '대상', '지구', '평균기온', '세계', '경제', '성장', '검증', '방식', '참고', '자료', '검토', '전문가', '인터뷰', '검증', '내용', '세계기상기구', '현지', '시각', '폭염', '북반구', '대부분', '지역', '일일', '온도', '관측', '기록', '경신', '이탈리아', '남부', '시칠리아', '일부', '지역', '스페인', '카탈루냐', '지역', '중심', '더위', '세계기상기구', '발표', '자료', '일부', '한국', '이번', '장마철', '폭우', '극한', '기후', '전형', '기상청', '지난달', '전국', '평균', '누적', '강수량', '국내', '전국', '단위', '기상', '관측', '시작', '이후', '역대', '장마철', '강수량', '월스트리트저널', '파이낸셜타임스', '주요', '외신', '국제', '금융', '센터', '글로벌', '반도체', '생산', '기지', '급부', '베트남', '가뭄', '전자', '애플', '협력', '폭스콘', '공장', '지난달', '생산', '차질', '베트남', '수력발전', '비중', '가뭄', '동반', '엘니뇨', '전력', '난이', '때문', '김우진', '국제', '금융', '센터', '연구원', '아시아', '신흥', '수력발전', '감소', '석탄', '천연가스', '수요', '증가', '에너지', '가격', '다시', '상승', '압력', '가능성', '상존', '분석', '베트남', '전력', '생산', '수력', '한국', '무역', '협회', '자재', '곡물', '시장', '기후', '변화', '촉각', '호주', '소맥', '광물', '인도', '소맥', '동남아', '광물', '팜유', '남미', '광물', '각종', '농산물', '최근', '산불', '홍수', '기상', '이변', '수급', '차질', '우려', '커피콩', '품종', '로부', '스타', '원두', '선물', '가격', '올해', '가까이', '카카오', '지난달', '최고', '유엔', '식량', '농업', '구가', '지목', '엘니뇨', '취약', '인도네시아', '베트남', '필리핀', '세계', '생산', '차지']",언론사 자체 문제 제기,1
9,9,한국에서는 팁 문화가 불법이다,"['후쿠시마', '오염수', '대한', '국가', '갈등', '시작', '당시', '일본', '정부', '도쿄', '전력', '후쿠시마', '이치', '원자력', '발전소', '알프스', '처리', '태평양', '방류', '정책', '발표', '태평양', '공유', '나라', '반응', '제각각', '해류', '처리', '수가', '가장', '먼저', '도착', '미국', '캐나다', '한국', '중국', '러시아', '피지', '남태평양', '섬나라', '반발', '목소리', '싱가포르', '말레이시아', '북미', '지역', '분위기', '최근', '견지', '국제', '원자력', '기구', '지난', '후쿠시마', '처리', '방류', '관련', '위험', '물질', '의미', '수준', '중간', '보고서', '결과', '신뢰', '분위기', '각국', '후쿠시마', '공통', '워드', '온도', '상황', '사건', '교도통신', '보도', '발전소', '근처', '우럭', '기준', '치의', '세슘', '세슘', '우럭', '위험성', '한국', '수산업', '영향', '대한', '우려', '한국', '수산업', '방사', '여성', '신문', '검증', '후쿠시마', '발전소', '근처', '우럭', '모니터링', '일반', '어로', '활동', '물고기', '일본', '정부', '후쿠시마', '바다', '박제', '내항', '구역', '관리', '내항', '방사성', '오염', '물질', '바닥', '상황', '세슘', '우럭', '알프스', '처리', '헤엄', '후쿠시마', '원전', '사고', '이후', '한국', '정부', '연안', '대한', '방사', '농도', '분석', '동해안', '방사성', '물질', '농도', '변화', '세슘', '우럭', '한국', '수산업', '영향', '주장', '사실', '검증', '대상', '김교흥', '민주당', '의원', '원전', '주변', '방사', '세슘', '범벅', '우럭', '국민', '안전', '생명', '주장', '검증', '지난', '김교흥', '민주당', '의원', '페이스북', '게시', '출처', '김교흥', '의원', '페이스북', '캡처', '검증', '방법', '정동욱', '중앙대', '에너지', '시스템', '학부', '교수', '인터뷰', '정범', '경희대', '원자력공학', '교수', '인터뷰', '한덕수', '국무총리', '정부', '질문', '답변', '연합뉴스', '세슘', '우럭', '일본', '교도통신', '보도', '정부', '지난', '한국', '해수', '핵종', '평균', '방사', '농도', '변화', '정부', '원산지', '표시', '전수', '조사', '보도자료', '해양수산부', '식품의약품안전처', '일본', '수산물', '수입', '금지', '방사', '검사', '실시', '조치', '일본', '처리', '포털사이트', '검증', '내용', '준치', '세슘', '우럭', '일본', '방출', '처리', '관련', '한국', '국민', '먹거리', '안전', '위협', '확인', '결과', '한국인', '한국', '수산업', '일본인', '일본', '수산업', '일본', '위기', '정동욱', '중앙대', '에너지', '시스템', '학부', '교수', '인터뷰', '도쿄전력', '발전소', '근처', '그물', '물고기', '방사성', '물질', '상황', '관찰', '후쿠시마', '원전', '사고', '초기', '알프스', '거치', '오염수', '지역', '강조', '연합뉴스', '언론사', '보도', '일본', '교도통신', '지난', '원전', '호기', '바다', '방파제', '중량', '우럭', '식품위생법', '기준', '치의', '베크렐', '세슘', '발표', '당시', '매체', '방사성', '물질', '농도', '비교', '점도', '실제', '세슘', '우럭', '방사성', '물질', '농도', '측정', '모니터', '일반', '어로', '활동', '통해', '물고기', '부각', '일본', '정부', '후쿠시마', '바다', '방파제', '내항', '그로', '반경', '안과', '구역', '관리', '내항', '방사성', '오염', '물질', '바닥', '세슘', '우럭', '방사성', '물질', '농도', '측정', '모니터', '일반', '어로', '활동', '통해', '물고기', '부각', '네모', '박스', '지점', '항만', '안이', '해당', '물고기', '지점', '출처', '일본', '처리', '포털사이트', '세슘', '우럭', '알프스', '처리', '헤엄', '줄곧', '오염수', '세슘', '농도', '이유']",온라인 커뮤니티 게시물,0
