,title,link,view,upload_date
0,"아이폰15 프로 서둘러야 하는 이유 | 애플워치 울트라 2세대, 애플워치9 이렇게 나옵니다!",https://youtube.com/watch?v=xetUEVEmWF8&pp=ygUJ7JWE7J207Y-w,17K views,10 hours ago
1,"아이폰15 시리즈 공개일, 출시일 / 아이폰15프로맥스 2TB 모델 출시! 가격 300만원?",https://youtube.com/watch?v=Hqygc2NQTTo&pp=ygUJ7JWE7J207Y-w,7.1K views,1 day ago
2,피파 때문에 최신형 핸드폰으로 바꾼 장비충 친구 아이폰14 박살빵 걸고 3판 2선 게임하기ㅋㅋㅋㅋㅋ,https://youtube.com/watch?v=tqxTpHtWhCE&pp=ygUJ7JWE7J207Y-w,1 day ago,5 months ago
3,티타늄 아이폰 등장? 가격 또 오른다.. 아이폰15 시리즈 지금까지의 정보 총정리!,https://youtube.com/watch?v=kaXOeIwSvMI&pp=ygUJ7JWE7J207Y-w,12K views,2.3M views
4,"아이폰15 실물 디자인 공개! 아이폰14 괜히 샀네요...(디자인, 가격, 출시일, 스펙, 아이폰15프로 총정리)",https://youtube.com/watch?v=2_EgAsUHvqg&pp=ygUJ7JWE7J207Y-w,1 day ago,436K views
5,"아이폰15, 이번엔 프로 살 필요 없겠는데요? 새로운 카메라, 출시일, 가격, 새로운 액션버튼 최신 소식 정리",https://youtube.com/watch?v=q2XEaopabF0&pp=ygUJ7JWE7J207Y-w,687K views,102K views
6,아이폰 안쓰면 소외되는 요즘 10대,https://youtube.com/watch?v=IC7EKG7KCHA&pp=ygUJ7JWE7J207Y-w,5 months ago,3 weeks ago
7,“요새는 다들 아이폰 쓴다”...? 모든 커뮤니티를 달군 소문의 진실 파헤치기,https://youtube.com/watch?v=MsCIBhY-VS4&pp=ygUJ7JWE7J207Y-w,1.4M views,2 weeks ago
8,"""난 접히는데 너는?""…""난 '아이폰'이잖아ㅎ"" / SBS / 모아보는 뉴스",https://youtube.com/watch?v=3xgcwFSJ04M&pp=ygUJ7JWE7J207Y-w,2.3M views,8 days ago
9,새 폰 샀을 때 특,https://youtube.com/watch?v=4XSm4dsEzz0&pp=ygUJ7JWE7J207Y-w,500K views,2 weeks ago
10,아이폰15 새로운 기능은?! iOS17 신기능 9가지 미리보기,https://youtube.com/watch?v=cQY_Smb0IUM&pp=ygUJ7JWE7J207Y-w,436K views,10 days ago
11,아이폰 15 출시 일정 나왔다 그런데 걱정되는 이유는?,https://youtube.com/watch?v=uGNIUn6RFLw&pp=ygUJ7JWE7J207Y-w,148K views,10 days ago
12,"애플 핵심 내부자가 밝힌 아이폰15를 걸러야하는 이유 TOP1 ""중국은 망하고 한국은 대박났네""",https://youtube.com/watch?v=PXSGhRm0DeU&pp=ygUJ7JWE7J207Y-w,102K views,4 months ago
13,젊은층 “갤럭시는 아재폰” 이유 있었네…20대 여성은 ‘아이폰’ 71% [경제합시다] / KBS  2023.07.20.,https://youtube.com/watch?v=XXhf1QusdFw&pp=ygUJ7JWE7J207Y-w,237K views,2 weeks ago
14,"곧 출시될 아이폰15!  15 Pro 절대 사지마세요! (아이폰15, 디자인, 가격, 카메라, 배터리 총정리)",https://youtube.com/watch?v=wiZewJ7udbw&pp=ygUJ7JWE7J207Y-w,3 weeks ago,3 days ago
15,"루머가 사실? 가격인상은 물론 출시지연까지 야기하는 아이폰15 Pro 신규 기술들. 3nm 프로세서, 티타늄 바디, LIPO 기반 더 얇은 베젤이 어려운 이유!",https://youtube.com/watch?v=OQSfL7K4pxg&pp=ygUJ7JWE7J207Y-w,162K views,2 months ago
16,나린이 인생 첫 아이폰을 사줬는데... 반응이 왜 이럴까요?! 가족 일상 브이로그 vlogㅣ토깽이네,https://youtube.com/watch?v=cASCT1cb2MY&pp=ygUJ7JWE7J207Y-w,2 weeks ago,2 weeks ago
17,물려 받은거 아님!! 닌니도 이제 아이폰14프로~!! 아이폰14 언박싱,https://youtube.com/watch?v=_OWtv75yb3E&pp=ygUJ7JWE7J207Y-w,47K views,5 days ago
18,유래없는 떡락ㄷㄷ 아이폰 14시리즈 지금 사야 하는 이유,https://youtube.com/watch?v=zc0n1p1d01E&pp=ygUJ7JWE7J207Y-w,880K views,2 weeks ago
19,애플이 숨겨놓은 기능까지 다찾음ㅋㅋ iOS 17에서 달라진 12가지 핵심 기능 총정리!,https://youtube.com/watch?v=0RQ2Gr4EB18&pp=ygUJ7JWE7J207Y-w,846K views,1 day ago
20,애플 아이폰 XR 리뷰: 그나마 가성비. 그나마.,https://youtube.com/watch?v=zSFp5HwIAig&pp=ygUJ7JWE7J207Y-w,10 days ago,1 month ago
21,"아이폰8 2022년에 써보았다!! iOS16 업데이트 지원, 아직도 거뜬하네",https://youtube.com/watch?v=eELImECwDVs&pp=ygUJ7JWE7J207Y-w,121K views,2 months ago
22,2023년에 아이폰X 사용해보면?,https://youtube.com/watch?v=QtWTFU8FDTA&pp=ygUJ7JWE7J207Y-w,10 days ago,1 month ago
23,"[단독] 아이폰 '철통 보안' 풀었다…""영구 비활성화 우회"" 어떻게? / SBS 8뉴스",https://youtube.com/watch?v=oQnWLXxATkk&pp=ygUJ7JWE7J207Y-w,4 months ago,1 year ago
24,"아이폰15 프로맥스 가격 또 인상?! 아이폰15, 아이폰 SE4 최신 소식 정리",https://youtube.com/watch?v=7QZ4yUbX1zo&pp=ygUJ7JWE7J207Y-w,35K views,6 months ago
25,아이폰15 프로 - 예상했지만 가슴 아픈 소식,https://youtube.com/watch?v=ZJsXIZZQpSI&pp=ygUJ7JWE7J207Y-w,2 weeks ago,1 month ago
