row_data,내용,상세내용,주장/검증매체,label,link,view
0,"[단독] 폭언·성희롱에 대출 압박까지‥""내 말이 헌법보다 위"" (2021.11.29/뉴스데스크/MBC)","-(기자) MBC 뉴스 임상재입니다.-(인터뷰) 그렇죠.-(기자) 이사장님을 음해하는?사요를 쓰고 나가라, 이런 뜻이아닌가.찔리니깐 다 거짓말이라는 거지.-(인터뷰) 정말 내가 그랬으면  양심이라도 찔려야 되는데, 양심에 안부인했습니다.휴대전화에도 여성의 신체 사진을  저장하지 않았다며 모든 의혹을-(기자) 강 이사장은 위협이나 폭언,  성희롱을 한 적이 전혀 없고새마을금고법 위에 이사장이 있는데,내 말은 헌법보다 더 높다.-(인터뷰) 안 된다고 하면 욕하고  폭언하고 난리가 나는 거죠.규정상 안 된다하자 이렇게 말했다고합니다.심지어 강 이사장 본인이 무리하게  금고 돈을 대출받겠다고 억지를 썼는데지난 9월까지 1년 반 넘게  계속됐습니다.이사장의 직장 내 괴롭힘은 작년 1월취임 이후 직원들이 문제를 제기한-(기자) 물리적인 위협과 폭언,성희롱까지 대상을 가리지 않은 강너무 기분이 나빴죠.거기에 여자 XX 사진이 있는 거예요.휴대전화로 물어볼 게 있다고 갑자기  앨범사진 들어갔는데.-(인터뷰) 이리 와 보래요.있는 걸 봤다고 증언했습니다.휴대전화를 넘겨줬는데 휴대전화에  여성의 은밀한 신체 부위 사진이 들어-(기자) 한 여직원은 강 이사장이  사용법을 가르쳐달라며 자신의너희 둘이 출장을 나가면 혹시나  잘못될까 봐, 불륜 이런 식으로.네 다리를 볼 거라고.-(인터뷰) 기차를 타고 가면 치마 입고 잠들면 제가 다리를 벌릴 거래요.예쁜데 숨겨놓고 있으면 서비스  차원에서 손해잖아.업하러 안 가니.업해야지.이거 해야지.-어디 가니.-(기자) 여성과 대화하며 여성의 신체  부위를 소재로 삼습니다.XXX아 문 닫아.-(인터뷰) 저런 더러운 XX가 참  싫어.마음에 안 들면 거침없이 욕설을  퍼붓습니다.바짝 붙이고 말을 붙이는 모습도포착됩니다.
 이 정도에 그치지 않습니다.-(기자) 창구 여직원 옆에 서류를  정리하다 말고 여직원 쪽으로 몸을네가 너무 예뻐서 그랬다.-(인터뷰) 제 뒤에 슬금슬금 오더니  이렇게 잡아당기더라고요.당황한 여직원 바로 옆에 얼굴을  들이댑니다.-(기자) 창구에 앉은 여직원 뒤로  다가가 머리카락을 잡아당기더니그냥 공포 분위기를 조성한다고.이유가 없습니다.있고요.-(인터뷰) 손 소독제를 XXX 벌려  하면서 입에 넣으려는 경우도마치 장난인 것처럼 웃는표정입니다.발로 차려는 듯 위협합니다.강 이사장이 한 여직원에게 다가가  오른발로 툭 발길질을 하더니 세게직원 5명이 일하는 대구의 한  새마을금고 강 모 이사장입니다.멱살을 잡고 거세게 잡아끕니다.-(기자) 문 앞에 선 백발의 남성이 문  밖의 다른 남성을 때릴 듯 위협하더니취재했습니다.먼저 이 새마을금고에 대체 무슨 일이  있었던 건지 임상재 기자가 단독폭언과 폭행에 성희롱을 일상처럼  저질렀다고 하는데요.갑질을 일삼아왔다고 직원들이 단체로폭로했습니다.-(앵커) 대구의 한 새마을금고  이사장이 취임하고 2년 가까이 온갖",0,0,https://www.youtube.com/watch?v=ydOlsd1HmsI&pp=ygUf7IOI66eI7J2E6riI6rOgLCDsnoTsm5AsIOq4iOqzoA%3D%3D,"938,155"
1,새마을금고 위기론에 '노심초사'...진화에도 우려는 여전 / YTN,"목소리도 있죠빨리이 법을 바꿔야 된다 이런시스템 문제가 있으니까그런데 지금 같이 PF 라든가이 금융계류되어 있는 상태입니다법이 나왔었는데 지금 아직은 다지난 몇 년 동안 국회 여러 가지그러니까 이게 문제다라고 그래 가지고돼요행정안전부를 한번 거쳐서 들어가야감시하려면금융감독원이 이걸행정안전부 관할이고 그 한국은행이나새마을금고만그런데관리 감독을 봤거든요감이금융감독원하고 한국은행에 직접적인농협 축협 신협 이거 다행정안전보가 날이에요들어가는데이 유독 새마을금고만것들 다 사무신용으로농협이라든가 신협 축협 수협 이런성격이에요쉬운 말로 하면 협동조합하고 비슷한상호금융기관이라고 보통 그러니까 아주금융기관하고 다르게새마을금고라고 하는 건 일반국회에서도 이게 계속 문제였었는데이게 문제가 되긴 됩니다 그동안에서하는 복잡한 여러 가지 역사가 있는데생기게 되고이 박정희 정권 시절부터이게 여기를 하려면 새마을금고가 왜금융감독원이 아니라 행정안전새마을금고의 감독 권한을 보니까 이게해주셨고요지역별로 편차가 크다는 좀 말씀을이렇게 얘기하고 있습니다기금도 넉넉히 쌓아 놓고 있다 지금자기들이 대처할 만한 준비가 돼 있다근데 새마을금고 중앙에서는 그 부분을얘기를 하는 거죠되면은 이거 어떻게 막을 거냐이파산 여기서 만약에 런이 벌어지게셈 그 고런 동네 새마을금고가근데 50%, 60% 밖에 안 되는이게 뭐 150% 이런 것도 있어요상태가 좋은 지역에 있는 새마을금고는그러니까 지역에 따라서 상당히 경제충분히 있느냐과연 여기에 대처할 만한 준비가중앙회라든가 여기서문제가 생기면은 그럼 새마을금고넘는다 하더라도 막상 몇 개 기관에서그러니까 뭐 전체 평균이 100%이렇게 지금 나온단 말이에요50%도 그 될까 말까 한 정도다10% 전체의 한 10% 정도는100%가 안 되고 그 중에 몇 한근데 그 3분의 1이 되는 것은 이게새마을금고가이게 1,300개가 있거든요 전국에뭐 하느냐지울 수가 없어서요있는가 안전하긴 한가라는 의문을 좀그래서이 새마을금고에 주장을 믿을 수있더라고요이상은 유동성 100%를 좀 밑돌고그런데 보니까 세 곳 중에 한 곳주장을 하는 거죠100% 넘었으니까 이제 안전하다라고112.8%라고 밝힌 거 보면은새마을금고의 유동성 평균 비율이아흔에게새마을금고 중앙회가 전국 1200부분이죠 그렇군요 그래서문제가 있다고 그러는 건데 지금 그정도 돼 있다고 보고 이게 안 되면은기업 그 기관들은 유동성 준비가 어느넘는100%가그걸 이제 100%를 이제 봐요버틸 수 있을 정도가 돼야 되는데넉넉하게3개월 동안 그걸아주 우르르 몰려든다 하더라도 다3개월 정도 버틸 수 있느냐막 예금자들이 몰려들잖아요 그때되면가령 우리가 뱅크론 같은게 터지게기 것입니다 그래서 보통 3개월 동안담보 그 자산을 100%로 유지하는게대해서 유동성말하거든요 그래서 유동성 부채에말하자면 현금으로의 전환 가능성을수 있는 유동성이란 건 알아서유동성 자산 언제든지 현금으로 바꿀되는 종류의 부채 이거에 대해서그래요 그러니까 언제든지 그 내줘야언제든지 올 수 있는 유동성 부채라고되니까장기적인 그 자산에도 투자를 해야그런데 거기서 이자를 남기기 위해서는준비가 돼 있어야 된단 말이에요언제든지 돈을 찾으러 오면 항상딜레마의 처해 있냐면은 예금자들이예금을 받는 기관들은 항상 어떤방금 말씀드린 대로이 여신 그러니까이중요한 지표인가 보죠 예 그렇습니다공개했는데 유동성 비율이라는게 굉장히운영은 안정적이라면서 유동성 비율을진화에 나섰어요 새마을금고 주강회가그래서 부랴부랴 새마을금고가 이제여기저기 이제 기사가 좀 나왔고위기다 뭐 말씀해 주신 것처럼PF 연체 우려하니까 새마을금고가부실새마을금고 얘기를 좀 해보겠습니다",0,0,https://www.youtube.com/watch?v=evw1_rl9M0E&pp=ygUf7IOI66eI7J2E6riI6rOgLCDsnoTsm5AsIOq4iOqzoA%3D%3D,"505,851"
2,사채 빌리고 보증까지 선 새마을금고…이유가 뭐길래 / KBS 2021.10.11.,"kbs 뉴스 양창희입니다.감사 등을 검토할 계획이라고 밝혔
습니다.새마을금고 중앙회는 관련  소송
의 결과를 보고 해당 금고에 대한아니라고 맞서고 있습니다.임원을 고소했고 민사소송도 항소
한 상태라며 금고가 책임질 일은금고 측은 두 사건 모두 전직 임원
이 독단적으로 저지른 것으로 해당손해를 떠안은 상황.특정 건설사를 위해 금고가 사채
를 빌리고 보증까지 하다 거액의패소 판결을 내렸습니다.또 금고는 도합 20억 원 가까운 돈을
상대방에게 지급해야 한다며 금고에게 돈을 빌리고 지급 보증을 한
행위가 규정 위반이라고 밝혔습니다.법원은 두 사건과 관련한 민사소송
1심에서 이사회 의결 없이 개인계약서를 작성하고 새마을금고
가 지급 보증을 해 준 것이죠.노성일/요양병원 시행사 대표 : 특정
업체를 도와주기 위해서 이 행위를받지 못했습니다.큰 손해를 본 시행사는 금고에 보증
을 이행하라고 요구했지만 돈을고 부도났습니다.하지만 이미 대출이 여러 건 연체
됐던 건설사는 공사를 반도 못 끝내시행사의 빚 5억 원에 대해 보증
을 해준 겁니다.해당 건설사가 맡은 요양병원 공사비
를 약속한 것보다 미리 주기 위해서금고는 같은 건설사를 위해 무리한
보증을 서기도 했습니다.아예 지금 회수를 못한 상황 피해를
보고 있습니다.새마을금고 법인 통장으로 돈을
입금해 준 것입니다.김 씨 측 관계자 : 어떤 채무자보다
안전한 곳이 금융기관이기 때문에금고는 4년이 지나도록 김 씨가
빌려준 돈을 갚지 않고 있습니다.그런데 지난해 2월 건설사의 부
도로 이 돈은 사실상 사라졌습니다.졌습니다.김 씨 측이 금고 법인계좌로 입금
한 돈은 모두 한 건설사로 보내렸습니다.금고는 이를 포함해 김 씨에게 4
차례에 걸쳐 12억 5천만 원을 빌씨에게 3억 원을 빌린 건 4년 전
.광주의 한 지역 새마을금고가 연
20%가 넘는 이자를 약속하며 김 모리포트어떻게 된 일인지 양창희 기자가
취재했습니다.떠안기도 했는데요.이 새마을금고는 같은 건설사를
위해 무리한 빚 보증을 섰다가 손해를에게 돈을 빌렸다가 갚지 못하는
황당한 일이 벌어졌습니다.그런데 광주의 한 새마을금고가
특정 건설사에게 줄 목적으로 개인기관이죠.새마을금고는 조합원들에게 예금
과 대출 업무를 하는 엄연한 금융",0,0,https://www.youtube.com/watch?v=HHWZmK9qfCw&pp=ygUf7IOI66eI7J2E6riI6rOgLCDsnoTsm5AsIOq4iOqzoA%3D%3D,"446,688"
3,"재생에너지냐, 원자력발전이냐?! 뉴스에서도 다 설명 못하는 원자력발전의 실태를 정확히 알려드립니다 (MBC 이지선 기자)","으으으오센 해드립니다 여기까지 하겠습니다어디서도 듣기 힘드셨을 거에요 캡자 이런 얘기 아무도 않으십니다안정감 있게 추진해 나갈 수 있다발전을 동시에 준 영감 있게 오랫동안우리가 재생에너지 확대와 또 원자력온다면 우리는 센서 그래 판다 그래야고준희 방패 장 추진에 계획이나현실을 우리가 집시 하고 앞으로 어걸을 산성 할 것도 아니다 이런것도 아니고 무작정 원전을 유력 않은자 그래서 탈 원전을 무작정 반대하는우리가 올바른 판단을 할 수가 있겠죠정치적 어떤 이념의 휘둘리지 않고어떤 사안에 판단 할 때도 이쪽 적도우리가 정확한 사실은 지 알고 있어야가기는 힘든 상황이다현실적으로 우리는 계속 먼저 늘려지향 정도 있을 거구요 어디에라고 말할 수는 없겠죠 그런 정치적폐기물처리시설 빼 문의 이거 선언했다선언한 배경이 이 뭐 해멜론 뭐 지금 정부가 탈 원전을무조건 탈 원전을 비난만 할게 아니라있는 거에요 자 그러니까 우리가가동을 중단해야 되는 일이 생길 수도30 4 올릴 수 있는 원전을 억지로쓰리 빡 차게 되면 은 아직도 이넘치게 되겠죠 사용후 핵연료 저장수는 없는 거잖아요 나중에는 뭐 변이정화 서 없는데 화장실만 계속 늘릴같이 있어줘야 한다나가려면 꾸준히 방패 장이 반드시땅덩어리에 계속 신규 원전을 눌려아닙니다 알지만 이 추가로 의 좁은우리가 뭐 원전 의 기술력 뛰어난 거안 된다이라는 걸 우리가 정치적 접근해서는됐죠 자 그러니까 어떤 탈 원전추진을 해봤지만 계속 번 보니 무산이기억하실 텐데 방 표장 만들려고지금까지 1 8번 정도 부한 사태도우리나라 있는 겁니다 1970년대부터방폐장 이에요 그거 하나 경우장갑 이런 거를 처리하는 저준위사용한 작업 도구들 입었던 작업 복들원전에서 일하는 인부들이폐기물은 전혀 보관할 수 없고요저중에 방패 작은 뭐냐면요 핵용도를 다 꿨어요났습니다 결국은 저중 이 방패 장으로난리가 난 거다 반대라고 난리가만들려고 했었어요 원래 계획은 근데경주의 원래 이 고준희 방패 잘어 스토리가 좀 있습니다여기도2015년도 에 경주의 생겼는데있습니다 한곳 경주의 있어요오늘의 그 방패 자 이라도 없으니까방패 장을 만들어야 된다는 얘기죠빨리폐기물을 이동시키는 것 자체가 안져 원전 부지 로 회 캡이 핵위험하기 때문에 이 원전 부지 에서안돼요 안돼요 아 까지 말씀들이 너무그러면 다른 원전 부지 로 옮기면핵 - 물을 부분을 점수가 없어서 어못하게 되는 상황이 발생하는 거죠 왜운전이 가능한 상황인데도 운전을월성 4호기 원전은 앞으로 훨씬 더인지적 아 시설까지 다 포화 시켰다면핵연료 사용후 핵연료가 월성 사옥이그 월석 1 2 3호기 에서 생산된안에서 돌려막기를 하고 있는 거예요저장을 합니다 이런식으로 같은 굳이이것도 더 금방 폰에 3길 저장시설을이효 기에서 생산될 것 까지 더해지면합니다2호기 에 저장 시설의 까지 저장을월성 1호기 안에다 저장을 못해서월성 1호기가 만들어낸 핵 폐기물은다르죠모여있어요 근데 이제 건설된 시기는하나의 부지 안에 여러 개의 원전이있죠원전 치대 들이 있죠 원전 부지 들이하늘 몰려 있습니다 바닷가에 이렇게고리 이렇게 6호기 몰려 있구요 뭐2호 입도 사옥이 몰려 있고요 뭐모여있어요 예를 들어서 뭐 월 썽작으나 지도를 보시면 이 원전들은이게 무슨말이냐면 요입니다 그래서 돌려막기를 하고 있어임씨 저장공간이 부족해요 태부족그런데지어도 된다고 저는 말할 거에요않습니다 그렇다면 더 추가로 원전을지속가능 하면 이런 문제제기를 하지임시 저장하고 있는 것만으로도금지금 그러면 이 사용후 핵연료 들을말인 거죠이거는 왜 수준을 같이 하지 않냐는안전하게 만들 수 있거든요 근데여기라면 당사 썽 패기 장도 굉장히뛰어나다 근데 그렇게 뛰어난 기술사람이에요 정말 우리 기술에 관한반대 하지 않죠 는 동의 하는게 안전하다 얘기 하잖아요 조 거기에원전 기술 어마어마하다 세계적인 알자들과 원전 학자들은 계속 우리나라하는 거거든요 우리나라 원전 찬성 분물질이 외부로 품어서 나가지 않게같습니다 왜냐 가장 핵심은 이 방사성폐기 장을 짓는 기술력은 사실상원자력 발전소를 짓는 기술력과 이임시 저장을 하고 있는 거죠중요해요 그 원자력 발전소 부지 안에있느냐 그 부지 안에 임시보관되고 있는데 처리장 이 없는데 어디408,000 다발 그리고 어떻게408,000 다 바립니다모두그러고 남겨둔 사용후 핵연료가 무려생산을 했는데월성 1호기가 지금까지 38년간 전기시작한 월성 1호기를 예로 들어볼게요자 1983년 도에 첫 상업운전을많은가그렇다면 이 핵 때 기분이 얼마나거에요아 용 총 붓는 분들 참 많으실군데도 없다는 겁니다처리할 시설이 필요 데 그게 한얘기에요 그때까지 얘네 를 저장한때 그게 10만 눈이 걸린다는거쳐서 더 이상 많이 뿜어 내지 않을해가 되지 않을 만큼 반감기를 계속라고 들어보셨죠 그게 우리 인류에게있고 이건 예쁘고 있기 때문에 반감이오디가 방사성물질 들을 포 안하고10만 년 이상 왜냐하면 이 안에십 년 이상을 복원해야 된다고 합니다생산하고 남은 핵 폐기물은 요 적어도꾸준히 방사성 폐기물 이잖아요 전기를위험하기 때문이죠문제입니다 왜냐하면 사용할 종교는품지 사실 이거는 더 심각한비중을 할수 있겠구요 이건 비교해계속 쓰레기를 발생시키는 그런 상황과쓰레기 처리 시설이 없는데 우리가하수처리장의 없는 상수 시설 또정화조 가 없는 화장실 혹은비유를 하자면 요는 없는 거죠 그 말이 뭐냐면사용후핵연료를 처리할 수 있는 장조먹기가 운전 중 인데 이이 좁은 땅덩어리에 원전은 숨을없습니다처리하는 처리장 은 단 한군데도원전의 계속 늘어나는데 사용후핵연료를노무 재밌게도원전 역사를 가지고 있는데그때 이후로 지금까지 40년 이상의시작했습니다1970년대에 찾 원전 상업 운전을우리나라가얘기를 좀 해드릴게요개념 바로 핵폐기물 사용후 핵연료그래서 생각도 하지 못하고 있는 핵심분자들 아무도 얘기하지 않는 아무도자궁 누구도 언급하지 않는 원전 찬성수 있다는 거죠원자력발전 단 까는 어마어마하게 커질반영될 경우 우리가 생각해야 돼반영된 건 아니에요 그런데 그게여기에도 핵폐기물 처리 비용이 완전히거라고 정말 하고 있거든요 사실가격보다 저렴해지는 역전 상 일어날재생에너지 발전 가격이 원자력 발전그리고 미국 주요 2022년 에는의 값을 훨씬 크게 잡았습니다92 파운드 이상으로 원자력발전 홍파운드 근데 원자력발전 전기 값은월에 해상풍력발전 전기 값은 57어영 부분이요 이미 2017 년 9거예요대한 비용은 전혀 생각하지 않고 있는남아 있는 핵연료 들 백팩이 물에있지만 우리는 그 뒤에 사용 뱅 귀에하는 것만 따진 거는 저렴할 수저렴 맞지 않습니다 왜냐하면 발전저렴하다고 알려져 있잖아요 사실 이게볼게요 지금 원자력발전 굉장히원인인가 입니다 왜냐면요 단가를무궁무진하게 지속될 수 있는 발전어뭐냐면 이 원자력 발전 뭐니제가 오늘 정말 듣고 싶었던 게걱정 충분히 하실 수 있습니다 그런데말씀하시는 분들이 계실 거예요 그런줄었을 텐데 좀 불안하지 않아 라고발전 비중 들었다가 결국 음 꾸준히국가라고 하지만 단기적으로 원자력앞으로 50년 더 원자력 발전을 하는눌려 봐야 되는거 아니야원전 하지 말고 계속 원자력발전은여기까진 정답 입니다 그렇다면 탈탄소의 어떤 쿠션 역할을 할 수 있다발전이 이 재생에너지 확대와 탈있다는 거죠 젖이 뜬 그분은 원자력개발로 어느정도 또 상조 될 수그 비용 부분을 기술 발전 기술우려했던 부분 발전 효율이 라 증가얘기에요 그러면 우리가 아까 그단가가 떨어질 가능성이 열려 있다는말은 뭐냐면 앞으로도 계속 달 발전비율은 25% 가 떨어졌습니다 이비율은 65% 가 줄었고 요 풍력발전발전 비용 입학 줄었어요 태양광발전보고서를 보면 요 최근 5년 사이에지금 국제에너지기구 iea 에되어줄 수 있다 그리고 재생에너지 도천연가스와 원자력 발전이 쿠션이재생에너지 발전 을 늘려 가는 동안아니라는 거죠 그래서 우리가발전을 주겠다는 게 탈원전 이그러니까 다 지금 당장 학원 적단기적으로 더 드러낼 수 있어요거든요 그러니까 원자력 발전 비중은진행되고 있는 원전도 굉장히 초대 위현재 신규 건설 중이니까 건설이발전 임업 줄어드는 게 아니고요 지금생인 거예요 니가 지금 당장 막 원전이상을 더 원전 발전을 하는 국가인나면 은 앞으로 우리나라는 50년중입니다 그럼 이게 건설 다 되고건설 중이고 요 넥 인가요 추가 건설중인데 여기에 지금 추가로 세기가 더때문에 나머지 20 내기가 운영이루기 란 월성 1호기는 중단 했기20 4개 까지 운영 중이에요 볼이수가 없죠 지금 우리나라 원전 기수가어느정도 건설이 진행 된 것은 중단할걸립니다 굉장히 장기 프로젝트의 요원전 하나 건설하는데 최대 10명까지원전 까지도 계속 가져간다는 얘기에요그 말은 뭐냐면 지금 현재 건설 중인이상은 추진하지 않겠다는 뜻입니다게 아니라 이 신규 원전 건설을 더갑자기 원자력 발전 비중 확 주겠다는굉장히 많은것 같더라구요 탈 원전 이대해서 정확하게 모르시는 분들이하긴 했지만 이 탈 원전 의 의미에역할을 한다고 맞습니다 탈 원전을 손손 하지 않았어 근데 이것도 쿠션줬구요 원자력 이번 정부는 탈 원전을합니다 하지만 석탄의 대해 훨씬탄소 배출 하지 않아 맞아요 대출또 궁금하실 거예요 어 천연가스 도가지고 있습니다발전으로 쿠션을 가져 가려는 계획을그거를 천연가스 그리고 원자력해주는 게 필요한데 일단 우리 정부는필요한데 중간에 어떤 쿠션 역할을가야 하는 문제다 그렇다면 완충이단 시간 외에는 쉽지는 않다 천천히100% 재생 에너지로 해체하는 것은상황이죠 이런 두 가지 이유로라는 우려 글 할 수 밖에 없는전기요금 인상으로 이어지는 게 아니냐발전 단가가 올라갈 수밖에 없고 금만큼 재생 에너지를 많이 하게 되면은그러니까 당연히 석탄발전 을 줄이는발전 은 12만원 되거든요때 근데 태양광 풍력 같은 재생에너지8 만원대 lng 천연 가스는 9만원발전단가가 1 메가 와트 다음 속타는비싸요 2019년 기준 1인 한데아직까지는 재생에너지 발전 비용 좀두번째가 비용 인데요 확실히겁니다 이렇게 여건이 좋지 않구요불가능하 주어 자체생산 해야 되는아 필이면 사면이 막혀 있어서 그것도하지만 우리나라는가능하여 전기수 출입이 가능해요져 생산된 지역으로의 전기 공급이에너지 발전으로 과 생산된 지역에서재력으로 연결돼 있어서 어제 색좋습니다 왜냐 거긴 대륙 이기 때문에유럽은 훨씬 재생에너지 발전 환경에우리 나라 보다도 일사량이 적은국가인데한마디로 4면이 다 막혀 있는 고립북쪽이 북한으로 막혀 있잖아요어우 나라가 이 삼면이 바다 고크지도 않구요어머 동남아 중남미 만큼 일사량이않은 않습니다재생에너지에 딱히 최적화되어 있지여건줘 우리나라가 처해진 지리적 기후적않은데요 첫번째는 이제 발전 효율이쉽지 않아요 두 가지 이유로 쉽지가궁금하실텐데요 쉽지 않습니다 당연히있나 우리나라가 볼 수 있나재생에너지 발전을 그대로 대체할 수가석탄 발전 을 줄이는 것 만큼0해야되는거 이제 알겠어 알겠는데 그럼탈 탄소 14는 거 재생에너지 확대그러면 궁금증이 도 생길 거예요이었습니다가져가야 하는 이런 당위적인 방향성싸긴 살아남으려면 어쩔 수 없이높은 우리 나라가 기업들이 글로벌수출에 의존하고 있는 수출의존도가확대해야 하는 이유 2 가 우리나라거예요 자 탈 탄소 그리고 재생에너지방송 만 보셔도 큰 문제는 없을거구요 뭐 못 볼 시간이 없다 이번보고 오시는 것도 훨씬 도움이 되실지난 방송 아직 못 보신 분들은 먼저알아보려고 합니다2탄 병으로 원자력 에너지에 대해서이유에 대해서 알아봤는데요 오늘은 그자세 에너지 발전 을 확대 해야 되는지난 방송에서 우리가 탈 탄소 그리고주는 캡 옷에 이지선 기자입니다4 국내 경제 이슈를 시원하게 캐힘드셨을 거예요 캡 오센 해드립니다얘기 아무도 않으십니다 어디서도 듣기일이 생길 수 도 있는 거야 자 이런원전을 억지로 가동을 중단해야 되는아직도 이삼십 년 더 돌릴 수 있는입니다임시 저장 공간이 부족해 태부족",0,0,https://www.youtube.com/watch?v=Gekxadtq-iA&pp=ygUW7YOE7IaMLCDrsJzsoIQsIOu5hOyaqQ%3D%3D,"2,086"
